Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
2550,15:24:16,1,fear,Focused,100.0,1
2560,15:24:16,1,fear,Focused,100.0,1
2570,15:24:16,1,fear,Focused,100.0,1
2580,15:24:16,1,fear,Focused,100.0,1
2590,15:24:16,1,fear,Focused,100.0,1
2600,15:24:16,1,fear,Focused,100.0,1
2610,15:24:16,1,fear,Distracted,0.0,1
2620,15:24:17,1,fear,Distracted,0.0,1
2630,15:24:17,1,fear,Focused,100.0,1
2640,15:24:17,1,fear,Focused,100.0,1
2650,15:24:17,1,fear,Focused,100.0,1
2660,15:24:17,1,fear,Focused,100.0,1
2670,15:24:17,1,fear,Focused,100.0,1
2680,15:24:17,1,fear,Focused,100.0,1
2690,15:24:17,1,fear,Focused,100.0,1
2700,15:24:17,1,fear,Focused,100.0,1
2710,15:24:17,1,fear,Focused,100.0,1
2720,15:24:17,1,fear,Focused,100.0,1
2730,15:24:18,1,sad,Distracted,0.0,1
2740,15:24:18,1,neutral,Distracted,0.0,1
2750,15:24:18,1,happy,Distracted,0.0,2
2750,15:24:18,2,sad,Distracted,0.0,2
2760,15:24:18,1,sad,Distracted,0.0,1
2770,15:24:18,1,sad,Distracted,0.0,1
2780,15:24:18,1,fear,Focused,100.0,1
2790,15:24:18,1,fear,Focused,100.0,1
2800,15:24:18,1,fear,Focused,100.0,1
2810,15:24:18,1,fear,Focused,100.0,1
2820,15:24:18,1,fear,Distracted,0.0,1
2830,15:24:18,1,fear,Focused,100.0,1
2840,15:24:18,1,neutral,Distracted,0.0,1
2850,15:24:19,1,neutral,Distracted,0.0,1
2860,15:24:19,1,neutral,Distracted,0.0,1
2870,15:24:19,1,neutral,Distracted,0.0,1
2880,15:24:19,1,fear,Focused,100.0,1
2890,15:24:19,1,fear,Focused,100.0,1
2900,15:24:19,1,neutral,Distracted,0.0,1
2910,15:24:20,1,sad,Distracted,0.0,1
2920,15:24:20,1,sad,Distracted,0.0,1
2930,15:24:20,1,neutral,Distracted,0.0,1
2940,15:24:20,1,neutral,Distracted,0.0,1
2950,15:24:20,1,fear,Focused,100.0,1
2960,15:24:20,1,fear,Focused,100.0,1
2970,15:24:20,1,fear,Focused,100.0,1
2980,15:24:20,1,fear,Distracted,0.0,1
2990,15:24:20,1,sad,Distracted,0.0,1
3000,15:24:20,1,sad,Distracted,0.0,2
3000,15:24:20,2,happy,Distracted,0.0,2
3010,15:24:20,1,fear,Distracted,0.0,2
3010,15:24:20,2,sad,Distracted,0.0,2
3020,15:24:20,1,fear,Distracted,0.0,2
3020,15:24:20,2,fear,Distracted,0.0,2
3030,15:24:21,1,sad,Distracted,0.0,2
3030,15:24:21,2,fear,Distracted,0.0,2
3040,15:24:21,1,fear,Distracted,0.0,1
3050,15:24:21,1,sad,Distracted,0.0,1
3060,15:24:21,1,sad,Distracted,0.0,1
3070,15:24:21,1,fear,Focused,100.0,1
3080,15:24:21,1,sad,Distracted,0.0,1
3090,15:24:21,1,sad,Distracted,0.0,1
3100,15:24:21,1,neutral,Distracted,0.0,1
3110,15:24:21,1,sad,Distracted,0.0,1
3120,15:24:21,1,fear,Focused,100.0,1
3130,15:24:21,1,fear,Focused,100.0,1
3140,15:24:21,1,fear,Focused,100.0,1
3150,15:24:22,1,fear,Focused,100.0,1
3160,15:24:22,1,fear,Focused,100.0,1
3170,15:24:22,1,neutral,Distracted,0.0,1
3180,15:24:22,1,neutral,Distracted,0.0,1
3190,15:24:22,1,fear,Focused,100.0,1
