Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
1660,13:23:39,1,1,100.0,fear,Focused,,,,
1670,13:23:39,1,1,100.0,fear,Focused,,,,
1680,13:23:39,1,1,100.0,fear,Focused,,,,
1690,13:23:39,1,1,100.0,fear,Focused,,,,
1700,13:23:39,1,1,100.0,fear,Focused,,,,
1710,13:23:39,1,1,100.0,fear,Focused,,,,
1720,13:23:39,1,1,100.0,fear,Focused,,,,
1730,13:23:39,1,1,100.0,fear,Focused,,,,
1740,13:23:39,1,1,100.0,fear,Focused,,,,
1750,13:23:40,1,1,100.0,fear,Focused,,,,
1760,13:23:40,2,0,0.0,happy,Distracted,fear,Distracted,,
1770,13:23:40,1,0,0.0,happy,Distracted,,,,
1780,13:23:40,1,1,100.0,fear,Focused,,,,
1790,13:23:40,1,0,0.0,happy,Distracted,,,,
1800,13:23:40,1,1,100.0,fear,Focused,,,,
1810,13:23:40,2,0,0.0,happy,Distracted,neutral,Distracted,,
1820,13:23:40,1,1,100.0,fear,Focused,,,,
1830,13:23:40,2,0,0.0,happy,Distracted,fear,Distracted,,
1840,13:23:40,1,0,0.0,happy,Distracted,,,,
1850,13:23:41,1,0,0.0,happy,Distracted,,,,
1860,13:23:41,1,0,0.0,happy,Distracted,,,,
1870,13:23:41,2,0,0.0,neutral,Distracted,happy,Distracted,,
1880,13:23:41,1,0,0.0,happy,Distracted,,,,
1890,13:23:41,2,0,0.0,happy,Distracted,fear,Distracted,,
1900,13:23:41,1,0,0.0,happy,Distracted,,,,
1910,13:23:41,1,1,100.0,sad,Focused,,,,
1920,13:23:41,1,1,100.0,angry,Focused,,,,
1930,13:23:41,1,1,100.0,fear,Focused,,,,
1940,13:23:41,1,1,100.0,fear,Focused,,,,
1950,13:23:42,1,1,100.0,fear,Focused,,,,
1960,13:23:42,1,0,0.0,fear,Distracted,,,,
1970,13:23:42,1,0,0.0,fear,Distracted,,,,
1980,13:23:42,1,1,100.0,fear,Focused,,,,
1990,13:23:42,1,1,100.0,fear,Focused,,,,
2000,13:23:42,1,1,100.0,fear,Focused,,,,
2010,13:23:42,1,1,100.0,fear,Focused,,,,
2020,13:23:42,1,0,0.0,fear,Distracted,,,,
2030,13:23:42,1,0,0.0,fear,Distracted,,,,
2040,13:23:42,1,1,100.0,fear,Focused,,,,
2050,13:23:43,1,1,100.0,fear,Focused,,,,
2060,13:23:43,1,1,100.0,fear,Focused,,,,
2070,13:23:43,1,1,100.0,fear,Focused,,,,
2080,13:23:43,1,1,100.0,fear,Focused,,,,
2090,13:23:43,1,1,100.0,fear,Focused,,,,
2100,13:23:43,1,1,100.0,fear,Focused,,,,
2110,13:23:43,1,0,0.0,neutral,Distracted,,,,
2120,13:23:43,2,0,0.0,sad,Distracted,neutral,Distracted,,
2130,13:23:43,1,1,100.0,fear,Focused,,,,
2140,13:23:43,1,0,0.0,fear,Distracted,,,,
2150,13:23:44,1,1,100.0,fear,Focused,,,,
2160,13:23:44,2,0,0.0,neutral,Distracted,happy,Distracted,,
2170,13:23:44,1,0,0.0,happy,Distracted,,,,
2180,13:23:44,3,0,0.0,neutral,Distracted,happy,Distracted,neutral,Distracted
2190,13:23:44,2,0,0.0,happy,Distracted,neutral,Distracted,,
2200,13:23:44,1,0,0.0,happy,Distracted,,,,
2210,13:23:44,2,0,0.0,neutral,Distracted,fear,Distracted,,
2220,13:23:44,1,0,0.0,neutral,Distracted,,,,
2230,13:23:44,1,0,0.0,sad,Distracted,,,,
2240,13:23:45,1,0,0.0,fear,Distracted,,,,
2250,13:23:45,1,0,0.0,sad,Distracted,,,,
2260,13:23:45,1,0,0.0,fear,Distracted,,,,
2270,13:23:45,1,1,100.0,fear,Focused,,,,
2280,13:23:45,1,1,100.0,fear,Focused,,,,
2290,13:23:45,1,0,0.0,fear,Distracted,,,,
2300,13:23:45,3,0,0.0,neutral,Distracted,fear,Distracted,fear,Distracted
2310,13:23:45,3,0,0.0,fear,Distracted,fear,Distracted,neutral,Distracted
2320,13:23:45,2,0,0.0,neutral,Distracted,happy,Distracted,,
